IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.45.83,4,4,0.00,214.26,0.00,LAX
104.17.225.199,4,4,0.00,214.27,0.00,LAX
172.66.143.3,4,4,0.00,214.29,0.00,SJC
104.27.97.186,4,4,0.00,214.29,0.00,LAX
104.17.61.43,4,4,0.00,214.29,0.00,LAX
104.18.237.197,4,4,0.00,214.29,0.00,LAX
104.21.15.38,4,4,0.00,214.31,0.00,LAX
104.25.7.57,4,4,0.00,214.32,0.00,LAX
188.114.96.22,4,4,0.00,214.33,0.00,LAX
104.18.192.210,4,4,0.00,214.35,0.00,LAX
104.21.63.204,4,4,0.00,214.39,0.00,LAX
104.19.20.144,4,4,0.00,214.42,0.00,LAX
104.16.86.212,4,4,0.00,214.43,0.00,LAX
172.64.231.58,4,4,0.00,214.45,0.00,LAX
198.41.206.48,4,4,0.00,214.47,0.00,LAX
104.25.226.211,4,4,0.00,214.47,0.00,LAX
104.20.14.87,4,4,0.00,214.47,0.00,LAX
104.19.132.69,4,4,0.00,214.50,0.00,LAX
104.16.95.15,4,4,0.00,214.51,0.00,LAX
104.16.107.20,4,4,0.00,214.53,0.00,LAX
104.27.205.176,4,4,0.00,214.54,0.00,LAX
104.25.103.107,4,4,0.00,214.55,0.00,LAX
104.19.13.131,4,4,0.00,214.57,0.00,LAX
104.24.129.193,4,4,0.00,214.59,0.00,LAX
172.67.172.208,4,4,0.00,214.60,0.00,LAX
104.21.34.72,4,4,0.00,214.62,0.00,LAX
104.17.111.50,4,4,0.00,214.62,0.00,LAX
104.19.43.247,4,4,0.00,214.63,0.00,LAX
162.159.10.154,4,4,0.00,214.63,0.00,LAX
104.21.2.4,4,4,0.00,214.64,0.00,LAX
172.67.161.251,4,4,0.00,214.65,0.00,LAX
104.24.64.102,4,4,0.00,214.67,0.00,LAX
172.66.160.143,4,4,0.00,214.68,0.00,LAX
104.19.83.169,4,4,0.00,214.68,0.00,LAX
104.27.46.249,4,4,0.00,214.70,0.00,LAX
104.27.15.162,4,4,0.00,214.70,0.00,LAX
104.24.71.181,4,4,0.00,214.73,0.00,LAX
104.27.96.121,4,4,0.00,214.76,0.00,LAX
104.25.56.120,4,4,0.00,214.79,0.00,LAX
104.18.246.72,4,4,0.00,214.80,0.00,LAX
104.17.203.191,4,4,0.00,214.84,0.00,LAX
172.67.151.31,4,4,0.00,214.85,0.00,LAX
104.18.93.70,4,4,0.00,214.86,0.00,LAX
104.19.188.86,4,4,0.00,214.87,0.00,LAX
104.16.83.99,4,4,0.00,214.88,0.00,LAX
104.24.26.105,4,4,0.00,214.89,0.00,LAX
104.21.200.250,4,4,0.00,214.91,0.00,LAX
104.16.202.78,4,4,0.00,214.92,0.00,LAX
104.21.116.5,4,4,0.00,214.92,0.00,LAX
104.19.18.205,4,4,0.00,214.94,0.00,LAX
104.18.191.30,4,4,0.00,214.95,0.00,LAX
104.27.88.44,4,4,0.00,214.96,0.00,LAX
104.16.170.188,4,4,0.00,214.97,0.00,LAX
172.67.99.184,4,4,0.00,215.00,0.00,LAX
162.159.58.198,4,4,0.00,215.00,0.00,LAX
162.159.26.31,4,4,0.00,215.03,0.00,LAX
104.20.3.200,4,4,0.00,215.03,0.00,LAX
172.64.151.52,4,4,0.00,215.04,0.00,LAX
104.20.40.249,4,4,0.00,215.04,0.00,LAX
162.159.2.243,4,4,0.00,215.05,0.00,LAX
104.16.138.17,4,4,0.00,215.05,0.00,LAX
104.19.135.132,4,4,0.00,215.06,0.00,LAX
104.24.88.163,4,4,0.00,215.07,0.00,LAX
104.16.72.27,4,4,0.00,215.08,0.00,LAX
104.16.242.201,4,4,0.00,215.09,0.00,LAX
104.21.109.67,4,4,0.00,215.11,0.00,LAX
104.19.103.70,4,4,0.00,215.13,0.00,LAX
104.21.9.100,4,4,0.00,215.15,0.00,LAX
172.64.189.126,4,4,0.00,215.15,0.00,LAX
104.19.76.194,4,4,0.00,215.16,0.00,LAX
198.41.203.93,4,4,0.00,215.16,0.00,LAX
104.24.203.107,4,4,0.00,215.17,0.00,LAX
104.27.62.82,4,4,0.00,215.18,0.00,LAX
104.27.72.227,4,4,0.00,215.18,0.00,LAX
104.21.230.163,4,4,0.00,215.19,0.00,LAX
172.67.222.80,4,4,0.00,215.20,0.00,LAX
104.27.204.49,4,4,0.00,215.21,0.00,LAX
104.21.206.60,4,4,0.00,215.21,0.00,LAX
104.16.15.111,4,4,0.00,215.22,0.00,LAX
104.16.32.161,4,4,0.00,215.25,0.00,LAX
172.66.192.197,4,4,0.00,215.25,0.00,LAX
190.93.245.94,4,4,0.00,215.25,0.00,LAX
104.24.61.27,4,4,0.00,215.27,0.00,LAX
172.67.183.96,4,4,0.00,215.27,0.00,LAX
104.18.239.169,4,4,0.00,215.27,0.00,LAX
104.21.25.234,4,4,0.00,215.28,0.00,LAX
172.67.236.4,4,4,0.00,215.28,0.00,LAX
104.17.122.120,4,4,0.00,215.28,0.00,LAX
104.24.173.164,4,4,0.00,215.29,0.00,LAX
104.18.147.208,4,4,0.00,215.29,0.00,LAX
104.17.123.62,4,4,0.00,215.32,0.00,LAX
104.16.41.61,4,4,0.00,215.36,0.00,LAX
172.64.93.208,4,4,0.00,215.37,0.00,LAX
104.25.37.176,4,4,0.00,215.37,0.00,LAX
104.25.157.106,4,4,0.00,215.40,0.00,LAX
198.41.208.14,4,4,0.00,215.41,0.00,LAX
104.19.230.100,4,4,0.00,215.42,0.00,LAX
172.67.217.108,4,4,0.00,215.42,0.00,LAX
104.16.190.145,4,4,0.00,215.43,0.00,LAX
104.27.51.254,4,4,0.00,215.43,0.00,LAX
104.19.110.215,4,4,0.00,215.44,0.00,LAX
104.18.21.5,4,4,0.00,215.44,0.00,LAX
104.18.97.167,4,4,0.00,215.45,0.00,LAX
104.21.83.6,4,4,0.00,215.49,0.00,LAX
104.24.148.235,4,4,0.00,215.51,0.00,LAX
104.25.217.247,4,4,0.00,215.52,0.00,LAX
198.41.219.253,4,4,0.00,215.54,0.00,SJC
198.41.222.114,4,4,0.00,215.54,0.00,LAX
104.27.16.164,4,4,0.00,215.55,0.00,LAX
104.24.1.11,4,4,0.00,215.56,0.00,LAX
172.67.201.224,4,4,0.00,215.57,0.00,LAX
104.17.79.51,4,4,0.00,215.57,0.00,LAX
172.66.146.131,4,4,0.00,215.58,0.00,LAX
104.24.19.6,4,4,0.00,215.58,0.00,LAX
104.24.87.162,4,4,0.00,215.60,0.00,LAX
104.19.16.219,4,4,0.00,215.60,0.00,LAX
104.21.210.85,4,4,0.00,215.61,0.00,LAX
104.21.1.43,4,4,0.00,215.61,0.00,LAX
104.20.39.141,4,4,0.00,215.62,0.00,LAX
104.17.26.249,4,4,0.00,215.62,0.00,LAX
104.25.109.29,4,4,0.00,215.63,0.00,LAX
104.25.43.126,4,4,0.00,215.64,0.00,LAX
104.18.212.139,4,4,0.00,215.64,0.00,LAX
104.18.154.117,4,4,0.00,215.65,0.00,LAX
104.16.50.234,4,4,0.00,215.67,0.00,LAX
104.25.133.13,4,4,0.00,215.68,0.00,LAX
104.27.4.210,4,4,0.00,215.68,0.00,LAX
104.19.40.85,4,4,0.00,215.68,0.00,LAX
104.18.68.192,4,4,0.00,215.68,0.00,LAX
172.67.90.184,4,4,0.00,215.68,0.00,LAX
104.18.25.181,4,4,0.00,215.69,0.00,LAX
104.25.13.55,4,4,0.00,215.69,0.00,LAX
162.159.248.178,4,4,0.00,215.70,0.00,LAX
104.25.178.123,4,4,0.00,215.70,0.00,LAX
104.19.180.61,4,4,0.00,215.71,0.00,LAX
104.18.175.108,4,4,0.00,215.71,0.00,LAX
104.18.245.133,4,4,0.00,215.72,0.00,LAX
104.16.199.158,4,4,0.00,215.74,0.00,LAX
104.19.79.97,4,4,0.00,215.74,0.00,LAX
104.16.168.82,4,4,0.00,215.75,0.00,LAX
104.16.56.78,4,4,0.00,215.75,0.00,LAX
104.25.59.235,4,4,0.00,215.76,0.00,LAX
198.41.194.239,4,4,0.00,215.78,0.00,LAX
172.67.98.208,4,4,0.00,215.79,0.00,LAX
104.17.247.129,4,4,0.00,215.81,0.00,LAX
104.19.111.208,4,4,0.00,215.81,0.00,LAX
104.25.250.247,4,4,0.00,215.82,0.00,LAX
104.27.2.154,4,4,0.00,215.84,0.00,LAX
104.25.151.211,4,4,0.00,215.85,0.00,LAX
104.25.95.238,4,4,0.00,215.85,0.00,LAX
104.16.243.36,4,4,0.00,215.86,0.00,LAX
104.17.88.76,4,4,0.00,215.87,0.00,LAX
104.20.58.129,4,4,0.00,215.88,0.00,LAX
104.19.41.99,4,4,0.00,215.88,0.00,LAX
162.159.4.168,4,4,0.00,215.88,0.00,LAX
172.67.180.136,4,4,0.00,215.90,0.00,LAX
104.17.84.222,4,4,0.00,215.91,0.00,LAX
104.16.251.252,4,4,0.00,215.91,0.00,LAX
104.24.170.228,4,4,0.00,215.91,0.00,LAX
104.19.239.146,4,4,0.00,215.93,0.00,LAX
172.66.212.39,4,4,0.00,215.93,0.00,LAX
104.19.3.164,4,4,0.00,215.94,0.00,LAX
104.17.157.147,4,4,0.00,215.95,0.00,LAX
198.41.202.12,4,4,0.00,215.95,0.00,LAX
104.18.220.181,4,4,0.00,215.96,0.00,LAX
104.25.160.244,4,4,0.00,215.98,0.00,LAX
104.20.12.70,4,4,0.00,215.98,0.00,LAX
172.66.207.252,4,4,0.00,215.98,0.00,LAX
172.67.136.223,4,4,0.00,216.00,0.00,LAX
104.24.156.200,4,4,0.00,216.02,0.00,LAX
104.19.128.58,4,4,0.00,216.03,0.00,LAX
104.21.61.0,4,4,0.00,216.03,0.00,LAX
104.17.129.186,4,4,0.00,216.04,0.00,LAX
104.17.42.114,4,4,0.00,216.05,0.00,LAX
172.67.238.234,4,4,0.00,216.05,0.00,LAX
104.19.6.39,4,4,0.00,216.05,0.00,LAX
104.18.121.174,4,4,0.00,216.06,0.00,LAX
104.16.63.54,4,4,0.00,216.07,0.00,LAX
104.25.200.93,4,4,0.00,216.07,0.00,LAX
104.26.5.72,4,4,0.00,216.08,0.00,LAX
104.19.134.195,4,4,0.00,216.08,0.00,LAX
104.27.200.232,4,4,0.00,216.09,0.00,LAX
104.24.210.229,4,4,0.00,216.11,0.00,LAX
198.41.217.180,4,4,0.00,216.11,0.00,LAX
104.20.46.34,4,4,0.00,216.12,0.00,LAX
162.159.35.80,4,4,0.00,216.12,0.00,LAX
104.25.34.109,4,4,0.00,216.12,0.00,LAX
104.20.20.183,4,4,0.00,216.12,0.00,LAX
104.17.185.201,4,4,0.00,216.12,0.00,LAX
104.17.212.3,4,4,0.00,216.13,0.00,LAX
104.16.1.171,4,4,0.00,216.14,0.00,LAX
104.21.62.166,4,4,0.00,216.18,0.00,LAX
172.67.178.74,4,4,0.00,216.18,0.00,LAX
104.25.35.137,4,4,0.00,216.19,0.00,LAX
104.18.76.99,4,4,0.00,216.19,0.00,LAX
104.16.29.0,4,4,0.00,216.21,0.00,LAX
104.18.75.38,4,4,0.00,216.23,0.00,LAX
104.27.125.245,4,4,0.00,216.23,0.00,LAX
104.16.162.3,4,4,0.00,216.24,0.00,LAX
104.16.18.12,4,4,0.00,216.25,0.00,LAX
104.20.62.240,4,4,0.00,216.28,0.00,LAX
104.19.25.88,4,4,0.00,216.31,0.00,LAX
162.159.151.146,4,4,0.00,216.32,0.00,LAX
172.67.112.68,4,4,0.00,216.35,0.00,LAX
104.18.102.176,4,4,0.00,216.36,0.00,LAX
104.25.127.84,4,4,0.00,216.36,0.00,LAX
104.16.40.179,4,4,0.00,216.36,0.00,LAX
172.67.127.28,4,4,0.00,216.37,0.00,LAX
104.18.10.12,4,4,0.00,216.38,0.00,LAX
104.16.179.123,4,4,0.00,216.41,0.00,LAX
104.16.85.142,4,4,0.00,216.42,0.00,LAX
104.16.123.159,4,4,0.00,216.46,0.00,LAX
104.21.207.152,4,4,0.00,216.47,0.00,LAX
104.17.37.201,4,4,0.00,216.51,0.00,LAX
162.159.148.247,4,4,0.00,216.51,0.00,LAX
104.25.232.160,4,4,0.00,216.53,0.00,LAX
162.159.46.187,4,4,0.00,216.57,0.00,LAX
104.19.203.86,4,4,0.00,216.58,0.00,LAX
104.18.138.235,4,4,0.00,216.59,0.00,LAX
104.16.117.51,4,4,0.00,216.60,0.00,LAX
104.20.51.33,4,4,0.00,216.60,0.00,LAX
172.67.209.248,4,4,0.00,216.60,0.00,LAX
172.67.230.132,4,4,0.00,216.61,0.00,LAX
162.159.41.187,4,4,0.00,216.64,0.00,LAX
104.16.205.56,4,4,0.00,216.64,0.00,LAX
104.19.235.13,4,4,0.00,216.66,0.00,LAX
162.159.143.126,4,4,0.00,216.66,0.00,LAX
104.25.156.249,4,4,0.00,216.66,0.00,LAX
104.25.194.70,4,4,0.00,216.67,0.00,LAX
104.25.169.46,4,4,0.00,216.68,0.00,LAX
104.16.103.2,4,4,0.00,216.68,0.00,LAX
104.20.32.207,4,4,0.00,216.69,0.00,LAX
104.20.22.216,4,4,0.00,216.69,0.00,LAX
104.24.151.186,4,4,0.00,216.70,0.00,LAX
104.27.52.114,4,4,0.00,216.72,0.00,LAX
104.18.231.51,4,4,0.00,216.72,0.00,LAX
162.159.153.50,4,4,0.00,216.73,0.00,LAX
162.159.13.60,4,4,0.00,216.74,0.00,LAX
104.21.50.12,4,4,0.00,216.75,0.00,LAX
104.21.88.194,4,4,0.00,216.76,0.00,LAX
104.24.214.174,4,4,0.00,216.77,0.00,LAX
104.18.183.140,4,4,0.00,216.79,0.00,LAX
198.41.201.79,4,4,0.00,216.80,0.00,LAX
162.159.240.97,4,4,0.00,216.82,0.00,LAX
104.18.79.45,4,4,0.00,216.83,0.00,LAX
172.67.247.23,4,4,0.00,216.84,0.00,LAX
104.19.107.68,4,4,0.00,216.85,0.00,LAX
104.17.18.160,4,4,0.00,216.85,0.00,LAX
173.245.49.252,4,4,0.00,216.85,0.00,LAX
104.19.48.90,4,4,0.00,216.86,0.00,LAX
172.65.54.106,4,4,0.00,216.87,0.00,LAX
162.159.18.171,4,4,0.00,216.87,0.00,LAX
188.114.97.155,4,4,0.00,216.89,0.00,LAX
104.17.209.229,4,4,0.00,216.92,0.00,LAX
104.26.3.38,4,4,0.00,216.93,0.00,LAX
104.27.127.244,4,4,0.00,216.93,0.00,LAX
162.159.11.181,4,4,0.00,216.94,0.00,LAX
104.19.1.34,4,4,0.00,216.94,0.00,LAX
162.159.12.32,4,4,0.00,216.95,0.00,LAX
104.17.90.20,4,4,0.00,216.95,0.00,LAX
104.27.41.59,4,4,0.00,216.95,0.00,LAX
162.159.140.135,4,4,0.00,216.96,0.00,LAX
104.24.81.123,4,4,0.00,216.96,0.00,LAX
172.67.88.48,4,4,0.00,216.98,0.00,LAX
104.16.39.240,4,4,0.00,217.01,0.00,LAX
172.67.248.117,4,4,0.00,217.02,0.00,LAX
104.24.69.82,4,4,0.00,217.04,0.00,LAX
104.24.155.156,4,4,0.00,217.04,0.00,LAX
104.17.224.55,4,4,0.00,217.04,0.00,LAX
104.17.105.242,4,4,0.00,217.04,0.00,LAX
104.18.101.201,4,4,0.00,217.05,0.00,LAX
104.16.171.220,4,4,0.00,217.08,0.00,LAX
104.19.59.224,4,4,0.00,217.08,0.00,LAX
162.159.156.189,4,4,0.00,217.09,0.00,LAX
172.67.138.138,4,4,0.00,217.10,0.00,LAX
104.18.167.210,4,4,0.00,217.13,0.00,LAX
104.16.145.171,4,4,0.00,217.13,0.00,LAX
104.21.233.163,4,4,0.00,217.14,0.00,LAX
104.17.184.90,4,4,0.00,217.18,0.00,LAX
104.27.60.38,4,4,0.00,217.18,0.00,LAX
104.25.3.81,4,4,0.00,217.19,0.00,LAX
104.24.29.76,4,4,0.00,217.19,0.00,LAX
104.27.34.236,4,4,0.00,217.19,0.00,LAX
104.19.105.64,4,4,0.00,217.19,0.00,LAX
104.21.48.204,4,4,0.00,217.19,0.00,LAX
104.19.179.83,4,4,0.00,217.19,0.00,LAX
104.25.190.98,4,4,0.00,217.19,0.00,LAX
172.64.33.40,4,4,0.00,217.20,0.00,LAX
104.21.75.12,4,4,0.00,217.21,0.00,LAX
172.67.221.75,4,4,0.00,217.21,0.00,LAX
104.19.109.148,4,4,0.00,217.22,0.00,LAX
104.18.92.181,4,4,0.00,217.22,0.00,LAX
172.67.121.32,4,4,0.00,217.24,0.00,LAX
104.25.230.149,4,4,0.00,217.26,0.00,LAX
104.18.15.39,4,4,0.00,217.26,0.00,LAX
104.21.97.127,4,4,0.00,217.28,0.00,LAX
104.18.208.169,4,4,0.00,217.30,0.00,LAX
172.66.200.189,4,4,0.00,217.30,0.00,SJC
162.159.5.58,4,4,0.00,217.31,0.00,LAX
104.24.9.139,4,4,0.00,217.32,0.00,LAX
104.16.191.45,4,4,0.00,217.34,0.00,LAX
104.19.226.87,4,4,0.00,217.35,0.00,LAX
104.21.49.37,4,4,0.00,217.37,0.00,LAX
104.16.177.238,4,4,0.00,217.39,0.00,LAX
104.25.40.221,4,4,0.00,217.41,0.00,LAX
104.17.21.161,4,4,0.00,217.43,0.00,LAX
104.25.155.202,4,4,0.00,217.45,0.00,LAX
104.24.239.1,4,4,0.00,217.48,0.00,LAX
104.18.33.192,4,4,0.00,217.48,0.00,LAX
104.25.168.244,4,4,0.00,217.48,0.00,LAX
172.67.240.173,4,4,0.00,217.49,0.00,LAX
104.25.214.26,4,4,0.00,217.50,0.00,LAX
104.25.130.163,4,4,0.00,217.50,0.00,LAX
104.21.17.210,4,4,0.00,217.51,0.00,LAX
172.64.156.175,4,4,0.00,217.51,0.00,LAX
104.18.114.91,4,4,0.00,217.53,0.00,LAX
104.25.29.8,4,4,0.00,217.55,0.00,LAX
104.18.24.149,4,4,0.00,217.55,0.00,LAX
104.19.29.192,4,4,0.00,217.55,0.00,LAX
104.17.137.194,4,4,0.00,217.58,0.00,LAX
104.18.99.23,4,4,0.00,217.59,0.00,LAX
104.19.158.22,4,4,0.00,217.66,0.00,LAX
104.21.215.130,4,4,0.00,217.66,0.00,LAX
104.25.147.55,4,4,0.00,217.67,0.00,LAX
104.25.116.83,4,4,0.00,217.69,0.00,LAX
172.67.109.94,4,4,0.00,217.70,0.00,LAX
104.21.234.231,4,4,0.00,217.70,0.00,LAX
162.159.241.61,4,4,0.00,217.71,0.00,LAX
104.21.4.132,4,4,0.00,217.71,0.00,LAX
172.66.153.202,4,4,0.00,217.72,0.00,LAX
104.24.82.15,4,4,0.00,217.74,0.00,LAX
104.25.47.144,4,4,0.00,217.75,0.00,LAX
104.18.251.87,4,4,0.00,217.76,0.00,LAX
104.19.176.177,4,4,0.00,217.76,0.00,LAX
104.27.202.59,4,4,0.00,217.77,0.00,LAX
104.19.12.142,4,4,0.00,217.78,0.00,LAX
104.17.65.191,4,4,0.00,217.78,0.00,LAX
104.21.44.243,4,4,0.00,217.78,0.00,LAX
104.25.105.45,4,4,0.00,217.78,0.00,LAX
104.19.91.57,4,4,0.00,217.79,0.00,LAX
104.18.199.187,4,4,0.00,217.80,0.00,LAX
104.27.100.228,4,4,0.00,217.80,0.00,LAX
104.21.218.149,4,4,0.00,217.81,0.00,LAX
104.17.24.58,4,4,0.00,217.81,0.00,LAX
104.24.174.8,4,4,0.00,217.82,0.00,LAX
104.18.185.193,4,4,0.00,217.82,0.00,LAX
104.25.110.29,4,4,0.00,217.83,0.00,LAX
104.27.99.216,4,4,0.00,217.84,0.00,LAX
172.66.161.8,4,4,0.00,217.84,0.00,LAX
104.19.28.138,4,4,0.00,217.84,0.00,LAX
104.16.144.28,4,4,0.00,217.86,0.00,LAX
172.66.144.181,4,4,0.00,217.87,0.00,LAX
104.24.183.164,4,4,0.00,217.87,0.00,LAX
162.159.254.207,4,4,0.00,217.89,0.00,LAX
104.24.139.172,4,4,0.00,217.89,0.00,LAX
104.24.142.139,4,4,0.00,217.90,0.00,LAX
104.17.45.23,4,4,0.00,217.92,0.00,LAX
104.18.255.112,4,4,0.00,217.93,0.00,LAX
104.18.203.203,4,4,0.00,217.96,0.00,LAX
104.19.141.64,4,4,0.00,217.96,0.00,LAX
104.24.168.160,4,4,0.00,217.97,0.00,LAX
104.19.99.215,4,4,0.00,217.98,0.00,LAX
104.21.66.120,4,4,0.00,217.99,0.00,LAX
104.25.135.9,4,4,0.00,218.00,0.00,LAX
172.67.226.42,4,4,0.00,218.00,0.00,LAX
198.41.209.79,4,4,0.00,218.02,0.00,LAX
104.17.133.249,4,4,0.00,218.02,0.00,LAX
104.18.37.247,4,4,0.00,218.03,0.00,LAX
104.17.51.124,4,4,0.00,218.03,0.00,LAX
104.16.240.191,4,4,0.00,218.04,0.00,LAX
104.17.25.38,4,4,0.00,218.04,0.00,LAX
172.64.75.43,4,4,0.00,218.05,0.00,LAX
198.41.197.209,4,4,0.00,218.07,0.00,LAX
104.21.46.127,4,4,0.00,218.08,0.00,LAX
104.16.68.158,4,4,0.00,218.08,0.00,LAX
104.17.236.181,4,4,0.00,218.10,0.00,LAX
104.24.243.28,4,4,0.00,218.13,0.00,LAX
104.25.254.217,4,4,0.00,218.14,0.00,LAX
104.18.188.56,4,4,0.00,218.14,0.00,LAX
104.19.192.56,4,4,0.00,218.15,0.00,LAX
104.19.213.37,4,4,0.00,218.15,0.00,LAX
104.25.137.117,4,4,0.00,218.15,0.00,LAX
104.16.70.231,4,4,0.00,218.15,0.00,LAX
104.24.186.220,4,4,0.00,218.16,0.00,LAX
104.25.165.43,4,4,0.00,218.19,0.00,LAX
104.16.24.71,4,4,0.00,218.19,0.00,LAX
104.17.177.55,4,4,0.00,218.21,0.00,LAX
104.21.80.81,4,4,0.00,218.21,0.00,LAX
104.27.44.67,4,4,0.00,218.22,0.00,LAX
104.24.195.155,4,4,0.00,218.23,0.00,LAX
104.19.205.96,4,4,0.00,218.23,0.00,LAX
104.16.105.9,4,4,0.00,218.25,0.00,LAX
172.66.162.107,4,4,0.00,218.27,0.00,LAX
172.64.95.232,4,4,0.00,218.28,0.00,LAX
104.24.17.231,4,4,0.00,218.29,0.00,LAX
104.25.213.250,4,4,0.00,218.29,0.00,LAX
104.21.214.216,4,4,0.00,218.31,0.00,LAX
104.21.11.159,4,4,0.00,218.31,0.00,LAX
172.67.72.126,4,4,0.00,218.32,0.00,LAX
104.19.199.155,4,4,0.00,218.35,0.00,LAX
104.18.43.211,4,4,0.00,218.35,0.00,LAX
104.19.98.164,4,4,0.00,218.35,0.00,LAX
104.27.124.251,4,4,0.00,218.36,0.00,LAX
104.26.0.49,4,4,0.00,218.36,0.00,LAX
104.27.89.23,4,4,0.00,218.38,0.00,LAX
104.27.74.183,4,4,0.00,218.38,0.00,LAX
104.16.37.211,4,4,0.00,218.39,0.00,LAX
104.19.208.168,4,4,0.00,218.39,0.00,LAX
104.24.209.67,4,4,0.00,218.40,0.00,LAX
172.64.82.208,4,4,0.00,218.41,0.00,LAX
104.18.18.60,4,4,0.00,218.42,0.00,LAX
104.21.47.68,4,4,0.00,218.43,0.00,LAX
104.27.32.168,4,4,0.00,218.44,0.00,LAX
172.65.45.205,4,4,0.00,218.44,0.00,LAX
104.19.198.210,4,4,0.00,218.46,0.00,LAX
104.19.35.33,4,4,0.00,218.46,0.00,LAX
162.159.193.228,4,4,0.00,218.48,0.00,LAX
104.21.64.192,4,4,0.00,218.48,0.00,LAX
104.26.14.155,4,4,0.00,218.50,0.00,LAX
104.24.52.231,4,4,0.00,218.51,0.00,LAX
162.159.15.114,4,4,0.00,218.51,0.00,LAX
172.67.80.97,4,4,0.00,218.59,0.00,LAX
104.17.106.42,4,4,0.00,218.59,0.00,LAX
172.64.79.114,4,4,0.00,218.59,0.00,SJC
172.67.187.117,4,4,0.00,218.60,0.00,LAX
104.19.42.162,4,4,0.00,218.62,0.00,LAX
104.24.222.231,4,4,0.00,218.63,0.00,LAX
172.67.253.7,4,4,0.00,218.64,0.00,LAX
104.16.92.146,4,4,0.00,218.65,0.00,LAX
172.67.173.222,4,4,0.00,218.66,0.00,LAX
104.19.234.208,4,4,0.00,218.71,0.00,LAX
104.16.36.147,4,4,0.00,218.71,0.00,LAX
104.17.64.124,4,4,0.00,218.73,0.00,LAX
172.66.154.188,4,4,0.00,218.75,0.00,LAX
104.17.183.17,4,4,0.00,218.75,0.00,LAX
104.18.153.192,4,4,0.00,218.76,0.00,LAX
104.17.54.141,4,4,0.00,218.76,0.00,LAX
172.67.174.191,4,4,0.00,218.76,0.00,LAX
104.27.196.119,4,4,0.00,218.77,0.00,LAX
104.21.5.229,4,4,0.00,218.81,0.00,LAX
104.21.227.222,4,4,0.00,218.82,0.00,LAX
104.19.251.0,4,4,0.00,218.85,0.00,LAX
104.27.8.192,4,4,0.00,218.85,0.00,LAX
104.25.141.235,4,4,0.00,218.87,0.00,LAX
104.17.215.63,4,4,0.00,218.88,0.00,LAX
172.67.232.40,4,4,0.00,218.91,0.00,LAX
104.19.58.179,4,4,0.00,218.94,0.00,LAX
104.16.73.246,4,4,0.00,218.96,0.00,LAX
104.18.240.173,4,4,0.00,218.96,0.00,LAX
162.159.16.170,4,4,0.00,218.96,0.00,LAX
104.16.193.59,4,4,0.00,218.98,0.00,LAX
104.20.38.60,4,4,0.00,218.98,0.00,LAX
172.67.207.24,4,4,0.00,218.98,0.00,LAX
104.18.243.98,4,4,0.00,218.99,0.00,LAX
172.67.159.224,4,4,0.00,219.01,0.00,LAX
104.17.146.221,4,4,0.00,219.01,0.00,LAX
104.16.57.100,4,4,0.00,219.02,0.00,LAX
104.24.191.147,4,4,0.00,219.03,0.00,LAX
104.25.0.60,4,4,0.00,219.04,0.00,LAX
104.21.114.89,4,4,0.00,219.06,0.00,LAX
104.21.42.85,4,4,0.00,219.07,0.00,LAX
172.67.105.151,4,4,0.00,219.07,0.00,LAX
104.27.21.3,4,4,0.00,219.07,0.00,LAX
172.67.184.110,4,4,0.00,219.09,0.00,LAX
172.67.82.3,4,4,0.00,219.09,0.00,LAX
104.19.206.73,4,4,0.00,219.09,0.00,LAX
104.25.128.17,4,4,0.00,219.10,0.00,LAX
104.24.18.127,4,4,0.00,219.10,0.00,LAX
104.19.238.14,4,4,0.00,219.10,0.00,LAX
104.21.213.202,4,4,0.00,219.11,0.00,LAX
104.19.170.184,4,4,0.00,219.12,0.00,LAX
104.25.4.192,4,4,0.00,219.13,0.00,LAX
104.19.10.141,4,4,0.00,219.16,0.00,LAX
162.159.147.33,4,4,0.00,219.18,0.00,LAX
104.24.0.173,4,4,0.00,219.18,0.00,LAX
104.21.199.92,4,4,0.00,219.18,0.00,LAX
104.27.7.123,4,4,0.00,219.20,0.00,LAX
104.16.13.90,4,4,0.00,219.21,0.00,LAX
172.67.130.4,4,4,0.00,219.23,0.00,LAX
104.21.73.142,4,4,0.00,219.24,0.00,LAX
104.27.26.242,4,4,0.00,219.25,0.00,LAX
104.17.128.132,4,4,0.00,219.25,0.00,LAX
104.16.82.81,4,4,0.00,219.26,0.00,LAX
104.17.141.91,4,4,0.00,219.29,0.00,LAX
104.24.90.183,4,4,0.00,219.30,0.00,LAX
104.25.48.173,4,4,0.00,219.31,0.00,LAX
104.19.240.181,4,4,0.00,219.31,0.00,LAX
104.21.226.212,4,4,0.00,219.32,0.00,LAX
104.18.178.7,4,4,0.00,219.32,0.00,LAX
172.67.133.245,4,4,0.00,219.34,0.00,LAX
104.19.155.109,4,4,0.00,219.34,0.00,LAX
104.19.122.61,4,4,0.00,219.35,0.00,LAX
172.67.244.212,4,4,0.00,219.35,0.00,LAX
104.25.240.187,4,4,0.00,219.35,0.00,LAX
104.27.6.88,4,4,0.00,219.38,0.00,LAX
104.18.107.212,4,4,0.00,219.38,0.00,LAX
104.16.135.115,4,4,0.00,219.39,0.00,LAX
104.17.190.190,4,4,0.00,219.41,0.00,LAX
